Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
OverSampling,0.19599999999999995,BOOKKEEPER,0.48062015503875977,157.0,44.0,RandomForest,1.0,0.2720306513409962,0.548576,false,false,0.598,0.6788321167883211,0.176,0.31555555555555553,206.0,0.372,0.46296296296296297,93.0,0.372,2.0
OverSampling,0.47807933194154484,BOOKKEEPER,0.7300215982721382,141.0,109.0,NaiveBayes,4.0,0.2774566473988439,0.8079789575533579,false,false,0.7390396659707724,0.756152125279642,0.22755741127348644,0.10271041369472182,370.0,0.7056367432150313,0.7298282144716294,338.0,0.7056367432150313,5.0
OverSampling,0.2296450939457202,BOOKKEEPER,0.46444121915820025,319.0,50.0,IBk,4.0,0.2774566473988439,0.6802620281466695,false,false,0.6148225469728601,0.7619047619047619,0.10438413361169102,0.10271041369472182,429.0,0.33402922755741127,0.7298282144716294,160.0,0.33402922755741127,5.0
OverSampling,0.12734864300626314,BOOKKEEPER,0.32142857142857145,380.0,38.0,RandomForest,4.0,0.2774566473988439,0.7767792155717592,false,false,0.5636743215031315,0.7226277372262774,0.07933194154488518,0.10271041369472182,441.0,0.20668058455114824,0.7298282144716294,99.0,0.20668058455114824,5.0
SMOTE,0.22388059701492535,BOOKKEEPER,0.70926517571885,25.0,339.0,NaiveBayes,3.0,0.2,0.7883352048772282,false,false,0.6119402985074627,0.5670498084291188,0.7228144989339019,0.11447811447811448,130.0,0.9466950959488273,0.6359743040685225,444.0,0.9466950959488273,4.0
SMOTE,-0.006396588486140775,BOOKKEEPER,0.0,469.0,3.0,IBk,3.0,0.2,0.5254613317815431,false,false,0.4968017057569296,0.0,0.006396588486140725,0.11447811447811448,466.0,0.0,0.6359743040685225,0.0,0.0,4.0
SMOTE,0.010660980810234477,BOOKKEEPER,0.03734439834024896,460.0,4.0,RandomForest,3.0,0.2,0.6042071094421284,false,false,0.5053304904051172,0.6923076923076923,0.008528784648187633,0.11447811447811448,465.0,0.019189765458422176,0.6359743040685225,9.0,0.019189765458422176,4.0
SMOTE,0.13435700575815734,BOOKKEEPER,0.3278688524590164,411.0,40.0,NaiveBayes,5.0,0.3327338129496403,0.7647923489819151,false,false,0.5671785028790787,0.7333333333333333,0.07677543186180422,0.09625390218522373,481.0,0.21113243761996162,0.7756255044390638,110.0,0.21113243761996162,6.0
SMOTE,0.4875239923224568,BOOKKEEPER,0.6948571428571428,217.0,50.0,IBk,5.0,0.3327338129496403,0.7681116706761322,false,false,0.7437619961612285,0.8587570621468926,0.09596928982725528,0.09625390218522373,471.0,0.5834932821497121,0.7756255044390638,304.0,0.5834932821497121,6.0
SMOTE,0.42802303262955843,BOOKKEEPER,0.6409638554216868,255.0,43.0,RandomForest,5.0,0.3327338129496403,0.9002435151653582,false,false,0.7140115163147793,0.86084142394822,0.08253358925143954,0.09625390218522373,478.0,0.510556621880998,0.7756255044390638,266.0,0.510556621880998,6.0
